adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/xnJMwlANj9Q8IKxGUM639yilujz.jpg,"[80, 53, 10751, 16, 18, 9648]",1504519,en,The Mastermind Killer !!,"After the shocking murder of the most powerful man in Chicago - George Murphy, police detective Ethan Graham begins investigation to solve the case. The complexity builds up leading to no end. It must have been plotted by a Mastermind.",0.0327,/jfXOdH7zSLVxZHbCRs9fKYCYCXq.jpg,2023-12-31,The Mastermind Killer !!,False,10.0,1
False,/tOaw7Mfna8laDWHEJWjZzIVgE58.jpg,"[80, 9648, 16]",1504483,en,The Manipulative Step Dad !!,"On his birthday, Travis, a young boy, was gifted a toy gun by his step-father, Marshall. As Travis attempted to show the to his biological father, he happens to take his own father's life with it. The Toy gun was a real weapon.",0.0491,/vVBkmz4S0LIbpp7FuF8NowbJf1x.jpg,2023-06-12,The Manipulative Step Dad !!,False,10.0,1
False,/zHYX1eRWLs9J6iTzR0miLzpaDW6.jpg,"[9648, 18, 16]",1504374,en,The Late Night Visitor !!,A happily married woman notices that someone is watching her every night who is not her husband. What does he want with her? What is he after?,0.0729,/bKMpsESxSYw5Qg2Kx7j1EQXX52M.jpg,2023-05-07,The Late Night Visitor !!,False,10.0,1
False,,[18],1504179,id,Harga Sekotak Bekal,"Past rejection and the loneliness of being a minority isolate Alex in his new school. Until he finds a warm welcome in a lunchbox, an unexpected encounter that makes him feel accepted.",0.084,/zGY6efAsuzlFIwismRkEsOCCutH.jpg,2023-09-01,A Meal's Worth,False,10.0,1
False,/jFNpMfHHWGvc7QIoa9CGYIgZ1V4.jpg,[35],1501043,pt,BØDE,,0.0239,/vTkuxkQSM4TttQDve4XuCJayU2K.jpg,2023-06-11,BØDE,False,10.0,1
False,,"[53, 27]",1501036,hi,Kali,The journey of an artist who is figuring out a mythological character through his art,0.0662,/jijCVG7tPKVAb5s7Yxywsn74P2v.jpg,2023-11-06,Kali,False,10.0,1
False,/f5J1TfvfQNUXLSwHyvC2D3xAaU.jpg,"[53, 27, 18]",1500340,en,Our Love Is Forever,"The Attempt Of A Child Who Doesn't Know That He Died And Trying To Live With His Parents. The Mental Pressure Of A Mother And Father Due To The Death Of Their Only Son, His Son Became A Soul To His Mother And Spend Time With Her The Husband Who Does Not See Any Of This And Hospitalized Her Wife, The Husband, Who Is Taking Care Of His Wife, Suddenly The Police Comes To The Home And Arresting Him Because Of The Wife's Death, What Happened To Their Family The Story Of Tragic Fate.",0.0214,/vr7mgsvbY98b2DK2W8If1DYIAnj.jpg,2023-01-10,Our Love Is Forever,False,10.0,1
False,/dOvKOqX6oqA7k508z8JES0pvb14.jpg,[],1499749,en,Chicken Nugget Man: The Complete Saga,The legendary saga of Chicken Nugget Man's odyssey from a biological weapon to the one who saved the world.,0.0239,/gACBT173GL4bqB8flrPfYPYW7Cy.jpg,2023-06-02,Chicken Nugget Man: The Complete Saga,False,10.0,1
False,,[],1498780,en,The Skull,"In a big abandoned house on a barren hill lives a skull. A brave girl named Otilla has escaped from terrible danger and run away, and when she finds herself lost in the dark forest, the lonely house beckons. Her host, the skull, is afraid of something too, something that comes every night. Can brave Otilla save them both? Steeped in shadows and threaded with subtle wit, The Skull is as empowering as it is mysterious and foreboding.",0.209,,2023-07-23,The Skull,False,10.0,1
False,/xMs7HTv2cn02o69H8mQartpgmWh.jpg,[18],1498176,en,Angurværð,A young immigrant deals with the struggles of the world in iceland. After his new friend (also an immigrant) gets deported he finds a way to deal with the pain.,0.0071,/eE7FucHM5BquerX5DKgIaNx6Fwr.jpg,2023-09-24,Angurværð,False,10.0,1
